Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      1.50,         721,         0.9554,      2.120262,      2.0640,        0.05
      1.51,         738,         0.9780,      2.252781,      2.0509,        0.01
      1.52,         754,         0.9992,      2.120262,      2.0500,        0.07
      1.53,         769,         1.0191,      1.987743,      2.0500,        0.10
      1.54,         783,         1.0376,      1.855230,      2.0538,        0.06
      1.55,         798,         1.0575,      1.987743,      2.0528,        0.05
      1.56,         813,         1.0774,      1.987755,      2.0500,        0.05
      1.57,         829,         1.0986,      2.120256,      2.0519,        0.05
      1.58,         845,         1.1198,      2.120268,      2.0528,        0.03
      1.59,         861,         1.1410,      2.120256,      2.0472,        0.03
      1.60,         877,         1.1622,      2.120268,      2.0472,        0.05
      1.61,         893,         1.1834,      2.120256,      2.0509,        0.03
      1.62,         909,         1.2046,      2.120268,      2.0500,        0.05
      1.63,         925,         1.2258,      2.120256,      2.0528,        0.05
      1.64,         942,         1.2483,      2.252781,      2.0472,        0.03
      1.65,         958,         1.2695,      2.120268,      2.0519,        0.04
      1.66,         974,         1.2907,      2.120256,      2.0519,        0.05
      1.67,         990,         1.3119,      2.120268,      2.0500,        0.05
      1.68,        1006,         1.3331,      2.120256,      2.0528,        0.05
      1.69,        1021,         1.3530,      1.987743,      2.0509,        0.07
      1.70,        1037,         1.3742,      2.120268,      2.0500,        0.05
      1.71,        1054,         1.3967,      2.252781,      2.0481,        0.05
      1.72,        1070,         1.4179,      2.120256,      2.0547,        0.05
      1.73,        1086,         1.4391,      2.120268,      2.0500,        0.05
      1.74,        1103,         1.4617,      2.252769,      2.0668,        0.05
      1.75,        1119,         1.4829,      2.120256,      2.0528,        0.01
      1.76,        1136,         1.5054,      2.252781,      2.0528,        0.05
      1.77,        1152,         1.5266,      2.120268,      2.0519,        0.05
      1.78,        1169,         1.5491,      2.252781,      2.0519,        0.05
      1.79,        1185,         1.5703,      2.120256,      2.0509,        0.05
      1.80,        1202,         1.5928,      2.252781,      2.0519,        0.05
      1.81,        1218,         1.6140,      2.120256,      2.0519,        0.04
      1.82,        1234,         1.6353,      2.120268,      2.0500,        0.03
